station,date,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX,country,latitude,longitude,elevation,location,geometry
IN006011400,2020-01-01T00:00:00,,,,316.0,194.0,,,110.0,,,,,,86.7,GH,30.733,76.883,347.0,CHANDIGARH(IAFB)                       42105,POINT (8558576.410659252 3576289.575092044)
IN006011400,2021-01-01T00:00:00,,,,331.0,201.0,,,108.0,,,,,,88.6,GH,30.733,76.883,347.0,CHANDIGARH(IAFB)                       42105,POINT (8558576.410659252 3576289.575092044)
IN006011400,2022-01-01T00:00:00,,,,316.0,193.0,,,112.0,,,,,,88.5,GH,30.733,76.883,347.0,CHANDIGARH(IAFB)                       42105,POINT (8558576.410659252 3576289.575092044)
IN006011400,2023-01-01T00:00:00,,,,336.0,178.0,,,110.0,,,,,,87.5,GH,30.733,76.883,347.0,CHANDIGARH(IAFB)                       42105,POINT (8558576.410659252 3576289.575092044)
IN006012800,2016-01-01T00:00:00,,,0.0,,,40.0,,,,,,,,,GH,30.383,76.767,272.0,AMBALA                                 42103,POINT (8545663.349727232 3531268.6599121774)
IN006012800,2020-01-01T00:00:00,,,0.0,,,36.0,,,,,,,,,GH,30.383,76.767,272.0,AMBALA                                 42103,POINT (8545663.349727232 3531268.6599121774)
IN009010100,2000-01-01T00:00:00,,,,341.0,64.0,,,100.0,,,,,,85.1,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2001-01-01T00:00:00,,,,342.0,83.0,,,98.0,,,,,,85.5,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2002-01-01T00:00:00,,,,348.0,85.0,,,98.0,,,,,,86.5,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2004-01-01T00:00:00,,,,358.0,65.0,,,99.0,,,,,,85.2,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2005-01-01T00:00:00,,,,353.0,89.0,,,99.0,,,,,,85.5,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2006-01-01T00:00:00,,,,357.0,69.0,,,99.0,,,,,,85.8,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2007-01-01T00:00:00,,,,346.0,81.0,,,98.0,,,,,,85.7,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2008-01-01T00:00:00,,,,350.0,48.0,,,98.0,,,,,,85.2,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2009-01-01T00:00:00,,,,354.0,76.0,,,99.0,,,,,,85.7,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2010-01-01T00:00:00,,,,360.0,101.0,,,100.0,,,,,,85.5,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2012-01-01T00:00:00,,,,364.0,122.0,,,99.0,,,,,,87.7,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2013-01-01T00:00:00,,,,365.0,93.0,,,100.0,,,,,,86.7,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2014-01-01T00:00:00,,,,365.0,90.0,,,98.0,,,,,,87.0,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009010100,2015-01-01T00:00:00,,,,364.0,72.0,,,98.0,,,,,,86.5,GH,12.967,77.583,921.0,BANGALORE                      GSN     43295,POINT (8636500.054214543 1446380.350047139)
IN009012800,2016-01-01T00:00:00,,,,352.0,87.0,,,100.0,,,,,,87.3,GH,12.95,77.633,897.0,BANGALORE/HINDUSTAN                    43296,POINT (8642066.028754206 1444450.814367553)
IN009012800,2017-01-01T00:00:00,,,0.0,355.0,88.0,54.0,,97.0,,,,,76.4,86.8,GH,12.95,77.633,897.0,BANGALORE/HINDUSTAN                    43296,POINT (8642066.028754206 1444450.814367553)
IN009012800,2018-01-01T00:00:00,,,,346.0,65.0,,,95.0,,,,,,86.1,GH,12.95,77.633,897.0,BANGALORE/HINDUSTAN                    43296,POINT (8642066.028754206 1444450.814367553)
IN009070100,2004-01-01T00:00:00,,,,344.0,89.0,,,103.0,,,,,,87.6,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2005-01-01T00:00:00,,,,350.0,125.0,,,104.0,,,,,,87.5,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2006-01-01T00:00:00,,,,350.0,107.0,,,101.0,,,,,,87.6,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2007-01-01T00:00:00,,,,351.0,105.0,,,101.0,,,,,,87.3,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2008-01-01T00:00:00,,,0.0,350.0,96.0,53.0,,99.0,,,,,77.2,87.2,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2009-01-01T00:00:00,,,0.0,357.0,119.0,54.0,,102.0,,,,,77.7,87.6,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2010-01-01T00:00:00,,,0.0,362.0,113.0,50.0,,102.0,0.0,,,,77.9,87.6,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2012-01-01T00:00:00,,,0.0,366.0,144.0,50.0,,99.0,0.0,,,,78.4,89.3,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2013-01-01T00:00:00,,,0.0,364.0,120.0,49.0,,103.0,0.0,,,,77.6,88.3,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2014-01-01T00:00:00,,,,362.0,118.0,,,102.0,,,,,,88.2,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2015-01-01T00:00:00,,,,362.0,155.0,,,101.0,,,,,,89.3,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2016-01-01T00:00:00,,,0.0,,,52.0,,,,,,,,,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2017-01-01T00:00:00,,,0.0,,,57.0,,,,,,,,,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2019-01-01T00:00:00,,,0.0,,,54.0,,,,,,,,,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2020-01-01T00:00:00,,,0.0,,,56.0,,,,,,,,,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN009070100,2021-01-01T00:00:00,,,0.0,,,54.0,,,,,,,,,GH,14.233,76.433,733.0,CHITRADURGA                            43233,POINT (8508482.639802279 1590462.3536337917)
IN018103100,2000-01-01T00:00:00,,,,316.0,192.0,,,111.0,,,,,,87.7,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2001-01-01T00:00:00,,,,320.0,187.0,,,113.0,,,,,,87.7,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2002-01-01T00:00:00,,,,317.0,176.0,,,113.0,,,,,,88.7,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2003-01-01T00:00:00,,,,300.0,186.0,,,114.0,,,,,,87.0,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2004-01-01T00:00:00,,,,314.0,185.0,,,114.0,,,,,,88.3,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2005-01-01T00:00:00,,,,312.0,184.0,,,112.0,,,,,,87.9,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
