Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Montserrat,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
Morocco,166,365,329,408,522,300,300,292,340,326,300,354,332,310,379,355,373,397,422,395,339,334,360,480,611,630,588,391,,10698
Mozambique,30,63,64,66,63,64,66,88,84,62,44,15,13,17,21,23,57,70,74,81,72,120,199,268,161,24,24,24,,1957
Myanmar,,2,2,1,1,3,1,2,3,3,4,5,9,10,20,16,26,32,28,1,2,1,7,26,1,1,1,1,,209
Namibia,,,63,104,58,57,63,36,65,53,23,120,120,55,69,69,61,139,310,464,544,472,394,263,253,382,379,379,,4995
Nepal,,,,,2,2,2,2,5,3,4,5,5,4,6,6,8,8,8,8,7,7,7,8,8,7,7,7,,136
Netherlands,2165,2058,2400,2200,2518,3100,3330,3330,3563,3340,3474,3511,3564,3568,3568,3500,3289,3157,3323,3426,3452,3636,3729,3573,3532,3650,3748,3588,3412,94704
Netherlands Antilles,9,8,8,7,7,15,14,12,15,15,17,16,22,20,30,32,32,33,33,17,,,,,,,,,,362
New Caledonia,21,41,44,44,40,40,46,55,58,62,65,64,64,67,66,64,68,68,68,71,78,68,55,50,43,44,44,44,,1542
New Zealand,309,356,388,382,384,413,606,656,745,797,817,860,918,874,927,921,939,919,925,906,960,934,920,945,931,917,902,895,867,22313
Nicaragua,2,2,14,7,6,5,5,8,7,6,7,8,9,8,8,9,9,10,12,12,13,14,12,11,11,11,11,11,,248
Niger,4,4,4,6,5,3,11,8,4,5,6,6,6,6,4,8,9,9,8,7,6,8,8,5,7,10,10,10,,187
Nigeria,16,9,8,7,7,4,40,3,38,31,34,59,63,258,130,213,243,328,375,370,334,233,192,230,264,279,279,279,,4326
Norway,318,365,417,430,472,463,500,550,562,578,610,633,658,674,698,729,741,749,759,773,780,764,761,772,789,1052,1066,660,,18323
Pakistan,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,11
