Year,country,Gallons
2014,BD,0.0
2015,BD,0.0
2016,BD,0.0
2017,BD,0.0
2018,BD,0.0
2019,BD,0.0
2020,BD,0.0
2021,BD,0.0
2022,BD,0.0
1995,BT,0.0
1996,BT,0.0
1997,BT,0.0
1998,BT,0.0
1999,BT,0.0
2000,BT,0.0
2001,BT,0.0
2002,BT,0.0
2003,BT,0.0
2004,BT,0.0
2005,BT,0.0
2006,BT,0.0
2007,BT,0.0
2008,BT,0.0
2009,BT,0.0
2010,BT,0.0
2011,BT,0.0
2012,BT,0.0
2013,BT,0.0
2014,BT,0.0
2015,BT,0.0
2016,BT,0.0
2017,BT,0.0
2018,BT,0.0
2019,BT,0.0
2020,BT,0.0
2021,BT,0.0
2022,BT,0.0
1995,BL,528344.0
1996,BL,528344.0
1997,BL,528344.0
1998,BL,528344.0
1999,BL,528344.0
2000,BL,528344.0
2001,BL,528344.0
2002,BL,528344.0
2003,BL,1162356.8
2004,BL,1875621.2
2005,BL,1902038.4000000001
2006,BL,1928455.6
2007,BL,1954872.8
2008,BL,2034124.4000000001
2009,BL,1849204.0
2010,BL,1954872.8
2011,BL,1954872.8
2012,BL,2113376.0
2013,BL,2192627.6
2014,BL,1452946.0
2015,BL,2192627.6
2016,BL,2192627.6
2017,BL,2219044.8000000003
2018,BL,1769952.4000000001
2019,BL,2219044.8000000003
2020,BL,2219044.8000000003
2021,BL,2219044.8000000003
2022,BL,2219044.8000000003
1995,BK,898184.8
1996,BK,1241608.4000000001
1997,BK,237754.80000000002
1998,BK,1822786.8
1999,BK,1532197.6
2000,BK,1268025.6
2001,BK,1452946.0
2002,BK,1981290.0
2003,BK,2403965.2
2004,BK,1585032.0
2005,BK,1320860.0
2006,BK,713264.4
2007,BK,1215191.2
2008,BK,1215191.2
2009,BK,977436.4
2010,BK,1188774.0
2011,BK,898184.8
2012,BK,818933.2000000001
2013,BK,1109522.4000000001
2014,BK,1981290.0
2015,BK,1426528.8
2016,BK,1215191.2
2017,BK,1452946.0
2018,BK,1585032.0
2019,BK,1585032.0
2020,BK,1822786.8
2021,BK,1822786.8
2022,BK,1822786.8
