station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AG000060590,2013-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2013-01-01,,,,,,,,,,,,,,,,1.1,,,,
GHCND:AG000060590,2013-01-01,,,,,,,,2.23,,,,,,,,,,,,
GHCND:AG000060590,2014-01-01,,8,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2014-01-01,3,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2014-01-01,,,1,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2014-01-01,,,,,,,,,,,,,,,,1.46,,,,
GHCND:AG000060590,2014-01-01,,,,,,,,1.95,,,,,,,,,,,,
GHCND:AG000060590,2015-01-01,,5,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2015-01-01,1,,,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2015-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060590,2015-01-01,,,,,,,,,,,,,,,,0.12,,,,
GHCND:AG000060590,2015-01-01,,,,,,,,0.28,,,,,,,,,,,,
GHCND:AG000060590,2018-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060590,2018-01-01,,,,6,,,,,,,,,,,,,,,,
GHCND:AG000060590,2018-01-01,,,,,,,,,,,,,,28.0,,,,,,
GHCND:AG000060590,2018-01-01,,,,,,,,,,,,58.8,,,,,,,,
GHCND:AG000060611,1995-01-01,,10,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,1,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,14,,,,,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,295,,,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,158,,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,,,,,,,23.0,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,,,,,,,,,0.16,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,,,,,,114.0,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,,,,,,,,1516.0,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,0.55,,,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,,,72.4,,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,,,,86.1,,,,,,,,,
GHCND:AG000060611,1995-01-01,,,,,,,,,,,,58.6,,,,,,,,
GHCND:AG000060611,1996-01-01,,6,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,2,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,2,,,,,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,313,,,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,165,,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,,,,,,,30.0,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,,,,,,,,,0.59,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,,,,,,112.0,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,,,,,,,,1048.0,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,0.91,,,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,,,72.7,,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,,,,86.5,,,,,,,,,
GHCND:AG000060611,1996-01-01,,,,,,,,,,,,58.9,,,,,,,,
GHCND:AG000060611,1997-01-01,,4,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,1,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,2,,,,,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,286,,,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,162,,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,,,,,,,31.0,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,,,,,,,,,0.75,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,,,,,,114.0,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,,,,,,,,1276.0,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,0.94,,,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,,,72.4,,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,,,,86.0,,,,,,,,,
GHCND:AG000060611,1997-01-01,,,,,,,,,,,,58.7,,,,,,,,
GHCND:AG000060611,1998-01-01,,4,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,2,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,0,,,,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,6,,,,,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,276,,,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,178,,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,,,,,,,29.0,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,,,,,,,,,0.24,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,,,,,,112.0,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,,,,,,,,1334.0,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,0.47,,,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,,,72.4,,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,,,,86.1,,,,,,,,,
GHCND:AG000060611,1998-01-01,,,,,,,,,,,,58.8,,,,,,,,
GHCND:AG000060611,2005-01-01,,17,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2005-01-01,8,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2005-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2005-01-01,,,,,,,,,,,,,,,,0.71,,,,
GHCND:AG000060611,2005-01-01,,,,,,,,2.85,,,,,,,,,,,,
GHCND:AG000060611,2006-01-01,,5,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2006-01-01,3,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2006-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2006-01-01,,,,,,,,,,,,,,,,0.55,,,,
