country,year,Quantity_hl,Quantity_gallons,Country_Code,dp10_mean,dp10_std,dp1x_mean,dp1x_std,dt32_mean,dt32_std,dx70_mean,dx70_std,dx90_mean,dx90_std,emnt_mean,emnt_std,emxp_mean,emxp_std,emxt_mean,emxt_std,htdd_mean,htdd_std,mnpn_mean,mnpn_std,mxpn_mean,mxpn_std,prcp_mean,prcp_std,tavg_mean,tavg_std,tmax_mean,tmax_std
Montenegro,2017,,,,82.2,13.065221008463652,15.4,5.727128425310541,95.75,50.861740696388544,134.2,44.30237013975663,30.8,25.043961347997644,-3.5,15.35143858622594,4.054,1.5121276401150794,98.4,6.877499545619759,3519.0,1257.2358569496814,,,,,56.974,16.08480276534344,51.55,8.181483158124003,62.64,6.654922989787332
Montenegro,2018,,,,95.4,12.641202474448386,17.2,9.497368056467012,75.6,42.14617420359765,150.0,55.59676249567055,15.8,32.57606483294138,9.0,12.267844146385295,3.944,1.1507084774172822,89.8,8.167006795638168,3732.0,1827.1639225860388,,,,,65.388,18.34695805849024,53.56,7.0162668136267445,63.58,6.793526330264716
Montenegro,2019,,,,86.33333333333333,13.574485871172676,16.166666666666668,7.859177225808479,80.0,46.93080012102926,134.2,40.10236900732923,22.6,33.29113996245848,7.4,11.588787684654507,5.086666666666667,2.610828731775922,95.8,5.848076606885378,4683.0,680.2367235014588,,,,,63.97166666666666,20.067818433169727,53.1,7.02602305717822,63.16,6.7114081979864695
Montenegro,2020,,,,,,,,,,,,,,,,,,,,4148.0,2075.9511073240624,,,,,,,,,,
Montenegro,2021,,,,87.2,4.08656334834051,23.4,13.164345787011218,104.66666666666669,51.53962876596351,127.0,40.91454509095757,29.0,28.879058156387305,7.333333333333333,8.386497083606084,2.662,0.9906412064920378,98.5,7.047458170621991,,,,,,,64.08,19.058474492991294,49.2,4.45084261685358,62.5,7.103520254071218
Montenegro,2022,,,,80.8,9.257429448826494,17.2,9.497368056467012,84.4,53.94719640537402,140.0,38.11823710509184,25.2,27.689348132449776,8.4,12.99230541512937,4.284000000000001,1.9523780371639092,97.4,6.107372593840988,4830.75,1795.3965903573137,,,,,61.370000000000005,19.69771052686073,53.38,7.017976916462463,63.88,6.024699162613849
Montserrat,1995,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,1995,173.0,4570175.600000001,MO,27.75,9.03234926989282,3.0,2.160246899469287,,,,,,,,,1.7200000000000002,0.6206985312264455,,,,,,,,,13.475,6.308647504285948,,,,
Morocco,1996,,,,65.8,10.35374328443583,14.4,6.6932802122726045,,,,,,,,,2.708,0.6916429714816742,,,,,,,,,45.08,14.450491341127472,,,,
Morocco,1997,,,,45.6,9.50263121456368,4.2,2.588435821108957,,,,,,,,,1.682,0.6214660087245318,,,,,,,,,22.48,7.783267308784917,,,,
Morocco,1998,,,,26.5,10.969655114602888,1.25,0.5,,,,,,,,,1.6925,0.8839070463949628,,,,,,,,,11.215,5.754450451606999,,,,
Morocco,1999,,,,,,,,,,209.0,,0.0,,,,,,87.0,,,,,,,,,,,,72.3,
Morocco,2000,,,,,,,,,,187.0,,7.0,,,,,,95.0,,,,,,,,,,,,72.6,
Morocco,2004,,,,32.75,3.304037933599835,2.0,0.816496580927726,,,,,,,,,2.39,1.4226266786007726,,,,,,,,,15.495,3.5537820229533863,,,,
Morocco,2014,,,,33.0,,1.0,,,,,,,,,,1.06,,,,,,,,,,11.67,,,,,
Morocco,2020,,,,36.0,10.44030650891055,2.0,0.0,,,232.0,,16.0,,,,1.87,0.7907591289387687,105.0,,,,,,,,15.839999999999998,4.186490176747104,,,74.9,
Morocco,2021,,,,40.333333333333336,9.865765724632494,3.6666666666666665,0.5773502691896258,,,,,,,,,2.94,0.976165969494942,,,,,,,,,20.433333333333334,3.2007707405144368,,,,
Morocco,2022,,,,34.333333333333336,11.930353445448851,7.333333333333333,2.886751345948129,,,,,,,,,3.293333333333333,2.007618821722225,,,,,,,,,22.876666666666665,9.955588045581903,,,,
Morocco,2023,,,,28.666666666666668,6.506407098647712,3.333333333333333,2.8867513459481287,,,232.0,,28.0,,,,1.9166666666666667,0.8542443054146356,107.0,,,,,,,,15.073333333333332,7.789430873519152,,,76.2,
Mozambique,1995,0.0,0.0,MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,2018,,,,,,,,,,330.0,,84.0,,,,,,103.0,,,,,,,,,,,,85.7,
Mozambique,2019,,,,,,,,0.0,,339.0,,104.0,,52.0,,,,112.0,,,,,,,,,,77.0,,86.9,
Mozambique,2020,,,,,,,,0.0,,,,,,52.0,,,,,,,,,,,,,,,,,
Myanmar,1995,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,2014,,,,,,,,,,336.5,4.949747468305833,184.0,87.68124086713189,,,,,104.0,0.0,,,,,,,,,,,90.3,3.5355339059327378
Myanmar,2019,,,,,,,,0.0,,,,,,46.0,,,,,,,,,,,,,,,,,
Myanmar,2020,,,,,,,,0.0,0.0,,,,,48.0,4.242640687119285,,,,,,,,,,,,,,,,
Myanmar,2022,,,,,,,,0.0,0.0,339.0,7.071067811865476,203.5,47.37615433949868,47.0,2.8284271247461903,,,100.0,5.656854249492381,13.0,,,,,,,,77.0,,90.8,2.262741699796949
Myanmar,2023,,,,85.0,,25.0,,0.0,,345.0,,145.0,,49.0,,5.24,,107.0,,9.0,,,,,,73.65,,77.7,,88.9,
Namibia,1995,0.0,0.0,WA,15.75,15.195942440884233,0.75,1.5,0.5,0.5773502691896257,341.5,15.588457268119893,101.75,31.47882886428062,30.25,5.188127472091127,0.905,0.55770362499569,102.5,5.802298395176403,461.0,140.0071426749364,,,,,6.31,5.92594858791963,70.65,1.2041594578792318,84.225,1.9517086531208168
Namibia,1996,,,,17.0,11.51810169544733,1.5,1.7320508075688772,3.6666666666666665,5.507570547286102,317.6666666666667,16.921386861996073,88.0,34.597687784012386,30.666666666666668,4.618802153517007,1.4475,1.2568578545987874,102.66666666666669,4.163331998932267,832.0,250.8724775657944,,,,,8.0425,6.222964861435959,68.8,0.1732050807568953,82.63333333333334,1.0263202878893796
Namibia,1997,,,,26.0,23.46628787573072,2.0,2.449489742783178,1.6666666666666667,2.0816659994661326,332.0,16.46207763315433,105.66666666666669,37.81974792794544,33.333333333333336,4.041451884327381,1.545,0.8810788840960836,102.66666666666669,4.163331998932267,430.0,,,,,,12.489999999999998,11.755699326993126,70.5,0.6999999999999977,84.16666666666667,2.1548395145192054
Namibia,1998,,,,11.5,9.9498743710662,0.75,0.9574271077563382,1.0,1.0,345.5,17.387735140993307,141.0,51.81376908377412,33.0,2.6457513110645907,1.3875,1.3171275564652043,102.75,4.112987559751022,326.5,47.37615433949868,,,,,5.404999999999999,4.765602445301818,71.86666666666666,0.9291573243177652,86.725,2.828869031963132
Namibia,1999,,,,22.25,17.5,2.25,2.217355782608345,0.0,0.0,336.25,16.91892431568863,102.0,52.63712251507169,33.333333333333336,0.5773502691896247,1.22,0.7759295500666711,101.5,3.8729833462074175,498.0,246.0731598529185,,,,,10.315,8.204114821234525,70.60000000000001,1.539480431834064,84.45,3.171224789677743
Namibia,2000,,,,22.5,19.0,4.5,3.872983346207417,1.5,2.1213203435596424,330.0,4.242640687119285,85.0,41.01219330881976,32.5,7.7781745930520225,1.8525,0.926800050352466,98.5,6.363961030678928,737.0,,,,,,13.099999999999998,10.969238806772328,69.7,,82.0,2.262741699796944
Namibia,2001,,,,19.25,15.239750654128173,2.25,2.0615528128088303,1.0,0.0,331.5,20.50609665440988,129.5,14.849242404917495,29.5,3.5355339059327378,1.78,1.323908355337836,102.0,2.8284271247461903,608.5,306.1772362537751,,,,,11.0625,9.720669987197384,70.75,0.4949747468305752,84.19999999999999,0.1414213562373064
Namibia,2002,,,,17.75,14.68275632615802,2.5,3.3166247903554,1.0,1.4142135623730951,338.3333333333333,22.120880030716084,110.66666666666669,39.42503434790302,31.5,2.1213203435596424,1.465,1.3149778198382918,100.33333333333331,4.04145188432738,667.5,245.366053071732,,,,,9.155,7.548264701240941,70.6,0.7071067811865476,84.3,1.1357816691600535
Namibia,2003,,,,15.75,15.239750654128173,0.75,1.5,0.3333333333333333,0.5773502691896258,337.3333333333333,10.06644591369434,129.0,37.46998799039039,34.333333333333336,3.511884584284245,0.7575,0.6847566477710652,101.33333333333331,3.2145502536643176,544.0,194.3527720409462,,,,,6.682499999999999,6.391517164700934,71.56666666666666,0.9451631252505228,84.73333333333333,1.6862186493255664
Namibia,2005,,,,,,,,,,351.0,,94.0,,,,,,99.0,,,,,,,,,,,,84.9,
Namibia,2006,,,,,,,,,,348.0,,50.0,,,,,,99.0,,,,,,,,,,,,81.7,
Namibia,2008,,,,,,,,0.0,,353.0,,69.0,,38.0,,,,97.0,,,,,,,,,,,,82.3,
Namibia,2012,,,,,,,,,,347.0,,109.0,,,,,,105.0,,,,,,,,,,,,85.6,
Namibia,2017,,,,,,,,,,337.0,,91.0,,,,,,96.0,,,,,,,,,,,,84.2,
Namibia,2022,,,,,,,,,,344.5,4.949747468305833,107.5,26.16295090390226,,,,,98.5,0.7071067811865476,,,,,,,,,,,85.35,1.6263455967290623
Nauru,1995,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1995,0.0,0.0,NP,,,,,11.0,,279.0,,18.0,,28.0,,,,94.0,,1568.0,,,,,,,,65.6,,77.7,
Nepal,1996,,,,,,,,3.0,,297.0,,7.0,,31.0,,,,91.0,,1295.0,,,,,,,,65.9,,78.0,
Nepal,1997,,,,,,,,6.0,,279.0,,2.0,,30.0,,,,90.0,,1479.0,,,,,,,,64.3,,76.5,
Nepal,1998,,,,,,,,5.0,,312.0,,6.0,,27.0,,,,91.0,,1518.0,,,,,,,,66.6,,78.8,
Nepal,1999,,,,,,,,5.0,,333.0,,20.0,,28.0,,,,96.0,,950.0,,,,,,,,67.5,,80.2,
Nepal,2000,,,,,,,,2.0,,321.0,,2.0,,27.0,,,,90.0,,1234.0,,,,,,,,66.4,,79.0,
Nepal,2015,,,,89.0,,22.0,,,,275.0,,13.0,,,,4.02,,94.0,,,,,,,,58.84,,,,79.1,
Nepal,2016,,,,82.0,,17.0,,,,,,,,,,3.39,,,,,,,,,,57.48,,,,,
Nepal,2017,,,,83.0,,11.0,,,,,,,,,,2.17,,,,,,,,,,45.13,,,,,
Nepal,2022,,,,98.0,,24.0,,,,,,,,,,3.0,,,,,,,,,,69.13,,,,,
Netherlands,1995,,,,86.43103448275862,13.430930613947975,1.2758620689655171,0.7676142911251091,,,,,,,,,1.263793103448276,0.309735753739515,,,,,,,,,28.906379310344825,4.402874538807199,,,,
Netherlands,2000,,,,107.24074074074076,16.804014777680287,1.7777777777777777,1.2688825371490304,45.0,,72.0,,2.0,,16.0,,1.3842592592592593,0.4836832030889478,92.0,,5000.0,,,,,,35.1362962962963,5.749898865819801,51.6,,58.7,
Netherlands,2005,,,,87.31481481481481,7.286130722712546,2.7962962962962963,1.4842523005487096,60.0,,79.0,,4.0,,10.0,,1.632777777777778,0.500593672709946,94.0,,5436.0,,,,,,31.06740740740741,3.1243077332458107,50.9,,58.9,
Netherlands,2010,,,,87.9245283018868,5.087121963288859,3.207547169811321,1.0805712621293946,94.0,,78.0,,2.0,,6.0,,1.6241509433962265,0.3189311112152841,94.0,,5768.0,,,,,,33.91679245283019,2.072718183360744,48.1,,56.1,
Netherlands,2015,,,,98.188679245283,6.850201018312655,1.7358490566037736,1.1627378730364484,63.0,,63.0,,3.0,,20.0,,1.472075471698113,0.5036381427273647,95.0,,5296.0,,,,,,33.44056603773585,3.0131324201123446,51.2,,59.4,
Netherlands,2020,,,,88.48214285714286,7.468700924959676,2.142857142857143,1.432462234039017,32.0,,105.0,,8.0,,21.0,,1.592857142857143,0.6137388081874281,96.0,,4786.0,,,,,,30.63339285714286,2.9783065821709145,53.0,,61.4,
Netherlands Antilles,1995,0.0,0.0,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,1995,0.0,0.0,NC,80.0,,52.0,,0.0,0.0,363.5,0.7071067811865476,16.5,13.435028842544405,56.0,2.8284271247461903,48.9,,95.0,1.4142135623730951,1.5,0.7071067811865476,,,,,407.68,,75.25,0.2121320343559723,81.5,0.7071067811865476
New Caledonia,2000,,,,92.0,,51.0,,0.0,0.0,359.3333333333333,10.69267662156362,6.333333333333333,0.5773502691896257,56.5,2.1213203435596424,55.98,,94.0,1.7320508075688772,0.5,0.7071067811865476,,,,,365.87,,74.44999999999999,0.4949747468305802,80.16666666666667,1.415391583037475
New Caledonia,2005,,,,,,,,,,359.0,,15.0,,,,,,93.0,,,,,,,,,,,,81.7,
New Caledonia,2010,,,,69.0,,8.0,,,,,,,,,,2.8,,,,,,,,,,36.62,,,,,
New Caledonia,2015,,,,45.0,,12.0,,,,,,,,,,4.45,,,,,,,,,,38.74,,,,,
New Zealand,1995,564.0,14899300.8,NZ,,,,,59.5,70.0035713374682,72.5,12.020815280171307,0.5,0.7071067811865476,11.0,19.79898987322333,,,87.0,8.48528137423857,4805.5,1851.912659927568,,,,,,,52.0,5.232590180780456,60.8,2.1213203435596424
New Zealand,1996,,,,,,,,12.0,,45.0,,0.0,,26.0,,,,79.0,,3567.0,,,,,,,,55.5,,62.1,
New Zealand,1997,,,,,,,,71.0,79.19595949289332,52.0,29.698484809834994,0.5,0.7071067811865476,21.5,4.949747468305833,,,85.5,10.606601717798211,4880.5,1450.276008213609,,,,,,,51.8,3.959797974644665,60.9,0.848528137423859
New Zealand,1998,,,,,,,,8.0,,63.0,,0.0,,28.0,,,,80.0,,3100.0,,,,,,,,57.0,,63.6,
New Zealand,1999,,,,,,,,63.0,66.46803743153546,93.0,11.31370849898476,2.0,2.8284271247461903,22.0,7.071067811865476,,,85.0,9.899494936611664,4225.5,1554.927811829218,,,,,,,53.8,4.242640687119285,63.3,1.131370849898472
New Zealand,2000,,,,,,,,21.0,,59.0,,0.0,,28.0,,,,78.0,,3461.0,,,,,,,,55.7,,63.0,
New Zealand,2001,,,,,,,,22.0,,61.0,,0.0,,23.0,,,,80.0,,3345.0,,,,,,,,56.1,,63.3,
New Zealand,2002,,,,,,,,9.0,,39.0,,0.0,,27.0,,,,76.0,,3480.0,,,,,,,,55.6,,62.3,
New Zealand,2003,,,,,,,,63.0,63.63961030678928,79.5,21.920310216782973,0.0,0.0,23.5,4.949747468305833,,,86.5,3.5355339059327378,4590.0,1689.9852070358486,,,,,,,52.55,4.737615433949863,61.900000000000006,1.6970562748477156
New Zealand,2004,,,,,,,,20.0,,33.0,,0.0,,27.0,,,,79.0,,3769.0,,,,,,,,54.8,,61.4,
